questao,True Grade,True Grade Normalized,o4-mini-high grade,o4-mini-high normalized grade,gemini-2.5-pro grade,gemini-2.5-pro normalized grade,gemini-2.5-flash grade,gemini-2.5-flash normalized grade,o4-mini-high-review grade,o4-mini-high-review normalized grade,gemini-2.5-pro-review grade,gemini-2.5-pro-review normalized grade,gemini-2.5-flash-review grade,gemini-2.5-flash-review normalized grade
1,20,1,20,1,11,0.55,9.32,0.466,11,0.55,11,0.55,11.5,0.575
2,20,1,20,1,20,1,20,1,20,1,20,1,20,1
3,20,1,20,1,20,1,20,1,20,1,20,1,20,1
4,20,1,20,1,18.5,0.925,20,1,20,1,20,1,20,1
5,6,0.3,9,0.45,9,0.45,9.5,0.475,9,0.45,6,0.3,9,0.45
1,20,1,8,0.4,9,0.45,14,0.7,11,0.55,6,0.3,10.5,0.525
2,20,1,20,1,17.5,0.875,20,1,20,1,17.5,0.875,20,1
3,20,1,10,0.5,10,0.5,20,1,10,0.5,20,1,20,1
4,19,0.95,14,0.7,19.5,0.975,20,1,19.5,0.975,19.5,0.975,19.5,0.975
5,6,0.3,3,0.15,5,0.25,5,0.25,4,0.2,5,0.25,14.5,0.725
1,19,0.95,10,0.5,8,0.4,15,0.75,13.5,0.675,13.5,0.675,15,0.75
2,20,1,20,1,20,1,20,1,20,1,20,1,20,1
3,20,1,7,0.35,15,0.75,15,0.75,15,0.75,15,0.75,15,0.75
4,5,0.25,9,0.45,9,0.45,7,0.35,10,0.5,9,0.45,7,0.35
5,0,0,0,0,0,0,19,0.95,0,0,0,0,0,0
1,0,0,4,0.2,1,0.05,1,0.05,4,0.2,0,0,1,0.05
2,0,0,6,0.3,0,0,0,0,3,0.15,0,0,2,0.1
3,20,1,20,1,18,0.9,20,1,20,1,20,1,20,1
4,5,0.25,7,0.35,8,0.4,7,0.35,7,0.35,9,0.45,7.5,0.375
5,18,0.9,18,0.9,18,0.9,17.5,0.875,18,0.9,17,0.85,17.5,0.875
1,18,0.9,7,0.35,4,0.2,9,0.45,6,0.3,6,0.3,10.5,0.525
2,20,1,20,1,20,1,20,1,20,1,20,1,20,1
3,20,1,12,0.6,20,1,20,1,20,1,20,1,20,1
4,0,0,7.5,0.375,9,0.45,11,0.55,6.5,0.325,10,0.5,12.5,0.625
5,6,0.3,6,0.3,6,0.3,6,0.3,6,0.3,6,0.3,6,0.3
1,0,0,4,0.2,2,0.1,5,0.25,2,0.1,2,0.1,5.36,0.268
2,0,0,3,0.15,2,0.1,3,0.15,3,0.15,1,0.05,4.5,0.225
3,20,1,20,1,20,1,20,1,20,1,20,1,20,1
4,5,0.25,6,0.3,10,0.5,12,0.6,6,0.3,9,0.45,7.5,0.375
5,3,0.15,3,0.15,3,0.15,2,0.1,2,0.1,2.5,0.125,3,0.15
1,0,0,4,0.2,2,0.1,2,0.1,4,0.2,0,0,0,0
2,8,0.4,7.5,0.375,9.75,0.4875,5.83,0.2915,10.5,0.525,7.5,0.375,0.5,0.025
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,10,0.5,0,0,15,0.75,10,0.5,10,0.5,10,0.5,10,0.5
5,6,0.3,3,0.15,4,0.2,3,0.15,3,0.15,3,0.15,6,0.3
1,0,0,4,0.2,2,0.1,12.5,0.625,2,0.1,2,0.1,6,0.3
2,10,0.5,12,0.6,11.5,0.575,13,0.65,11,0.55,10,0.5,14,0.7
3,20,1,16,0.8,20,1,20,1,20,1,20,1,20,1
4,20,1,20,1,18,0.9,20,1,20,1,20,1,20,1
5,20,1,20,1,19,0.95,19,0.95,20,1,19.5,0.975,16,0.8
1,0,0,1,0.05,2,0.1,13.5,0.675,6.5,0.325,4,0.2,12.5,0.625
2,10,0.5,12.5,0.625,12.5,0.625,20,1,12.5,0.625,12.5,0.625,20,1
3,20,1,20,1,20,1,20,1,15,0.75,20,1,20,1
4,10,0.5,12,0.6,13,0.65,18,0.9,13,0.65,14,0.7,16,0.8
5,20,1,20,1,17,0.85,20,1,20,1,16,0.8,19,0.95
1,20,1,17,0.85,14,0.7,15,0.75,8,0.4,15,0.75,15.5,0.775
2,20,1,20,1,20,1,20,1,20,1,20,1,20,1
3,20,1,20,1,19,0.95,20,1,20,1,18,0.9,20,1
4,20,1,20,1,20,1,20,1,20,1,20,1,20,1
5,20,1,18,0.9,17,0.85,17.5,0.875,19,0.95,17,0.85,17.5,0.875
